,threshold,test_recall_score,test_f1_score,test_precision_score,train_recall_score,train_f1_score,train_precision_score
0,0.16656610964770044,0.8571428571428571,0.5625000000000001,0.4186046511627907,0.9523809523809523,0.6037735849056604,0.4419889502762431
1,0.16656610964770044,0.8571428571428571,0.5625000000000001,0.4186046511627907,0.9523809523809523,0.6037735849056604,0.4419889502762431
2,0.16656610964770044,0.8571428571428571,0.5625000000000001,0.4186046511627907,0.9523809523809523,0.6037735849056604,0.4419889502762431
3,0.16656610964770044,0.8571428571428571,0.5625000000000001,0.4186046511627907,0.9523809523809523,0.6037735849056604,0.4419889502762431
4,0.16656610964770044,0.8571428571428571,0.5625000000000001,0.4186046511627907,0.9523809523809523,0.6037735849056604,0.4419889502762431
5,0.16656610964770044,0.8571428571428571,0.5625000000000001,0.4186046511627907,0.9523809523809523,0.6037735849056604,0.4419889502762431
6,0.16656610964770044,0.8571428571428571,0.5625000000000001,0.4186046511627907,0.9523809523809523,0.6037735849056604,0.4419889502762431
7,0.16656610964770044,0.8571428571428571,0.5625000000000001,0.4186046511627907,0.9523809523809523,0.6037735849056604,0.4419889502762431
8,0.16656610964770044,0.8571428571428571,0.5625000000000001,0.4186046511627907,0.9523809523809523,0.6037735849056604,0.4419889502762431
9,0.16656610964770044,0.8571428571428571,0.5625000000000001,0.4186046511627907,0.9523809523809523,0.6037735849056604,0.4419889502762431
10,0.16742971316439842,0.8095238095238095,0.6071428571428571,0.4857142857142857,0.8809523809523809,0.6218487394957983,0.4805194805194805
11,0.16742971316439842,0.8095238095238095,0.6071428571428571,0.4857142857142857,0.8809523809523809,0.6218487394957983,0.4805194805194805
12,0.16742971316439842,0.8095238095238095,0.6071428571428571,0.4857142857142857,0.8809523809523809,0.6218487394957983,0.4805194805194805
13,0.16742971316439842,0.8095238095238095,0.6071428571428571,0.4857142857142857,0.8809523809523809,0.6218487394957983,0.4805194805194805
14,0.16742971316439842,0.8095238095238095,0.6071428571428571,0.4857142857142857,0.8809523809523809,0.6218487394957983,0.4805194805194805
15,0.16742971316439842,0.8095238095238095,0.6071428571428571,0.4857142857142857,0.8809523809523809,0.6218487394957983,0.4805194805194805
16,0.16742971316439842,0.8095238095238095,0.6071428571428571,0.4857142857142857,0.8809523809523809,0.6218487394957983,0.4805194805194805
17,0.16742971316439842,0.8095238095238095,0.6071428571428571,0.4857142857142857,0.8809523809523809,0.6218487394957983,0.4805194805194805
18,0.167646172175002,0.6190476190476191,0.52,0.4482758620689655,0.8452380952380952,0.6794258373205742,0.568
19,0.167646172175002,0.6190476190476191,0.52,0.4482758620689655,0.8452380952380952,0.6794258373205742,0.568
20,0.167646172175002,0.6190476190476191,0.52,0.4482758620689655,0.8452380952380952,0.6794258373205742,0.568
21,0.167646172175002,0.6190476190476191,0.52,0.4482758620689655,0.8452380952380952,0.6794258373205742,0.568
22,0.167646172175002,0.6190476190476191,0.52,0.4482758620689655,0.8452380952380952,0.6794258373205742,0.568
23,0.167646172175002,0.6190476190476191,0.52,0.4482758620689655,0.8452380952380952,0.6794258373205742,0.568
24,0.27308875021633466,0.6190476190476191,0.6500000000000001,0.6842105263157895,0.7619047619047619,0.6956521739130435,0.64
25,0.27308875021633466,0.6190476190476191,0.6500000000000001,0.6842105263157895,0.7619047619047619,0.6956521739130435,0.64
26,0.27308875021633466,0.6190476190476191,0.6500000000000001,0.6842105263157895,0.7619047619047619,0.6956521739130435,0.64
27,0.27308875021633466,0.6190476190476191,0.6500000000000001,0.6842105263157895,0.7619047619047619,0.6956521739130435,0.64
28,0.27308875021633466,0.6190476190476191,0.6500000000000001,0.6842105263157895,0.7619047619047619,0.6956521739130435,0.64
29,0.27308875021633466,0.6190476190476191,0.6500000000000001,0.6842105263157895,0.7619047619047619,0.6956521739130435,0.64
30,0.27308875021633466,0.6190476190476191,0.6500000000000001,0.6842105263157895,0.7619047619047619,0.6956521739130435,0.64
31,0.27308875021633466,0.6190476190476191,0.6500000000000001,0.6842105263157895,0.7619047619047619,0.6956521739130435,0.64
32,0.27308875021633466,0.6190476190476191,0.6500000000000001,0.6842105263157895,0.7619047619047619,0.6956521739130435,0.64
33,0.27308875021633466,0.6190476190476191,0.6500000000000001,0.6842105263157895,0.7619047619047619,0.6956521739130435,0.64
34,0.43037554548025264,0.5238095238095238,0.5789473684210527,0.6470588235294118,0.7023809523809523,0.6592178770949721,0.6210526315789474
35,0.43037554548025264,0.5238095238095238,0.5789473684210527,0.6470588235294118,0.7023809523809523,0.6592178770949721,0.6210526315789474
36,0.4324694291234265,0.5238095238095238,0.6666666666666667,0.9166666666666666,0.6190476190476191,0.697986577181208,0.8
37,0.4324694291234265,0.5238095238095238,0.6666666666666667,0.9166666666666666,0.6190476190476191,0.697986577181208,0.8
38,0.4324694291234265,0.5238095238095238,0.6666666666666667,0.9166666666666666,0.6190476190476191,0.697986577181208,0.8
39,0.4324694291234265,0.5238095238095238,0.6666666666666667,0.9166666666666666,0.6190476190476191,0.697986577181208,0.8
40,0.4324694291234265,0.5238095238095238,0.6666666666666667,0.9166666666666666,0.6190476190476191,0.697986577181208,0.8
41,0.5706636970863954,0.47619047619047616,0.6451612903225806,1.0,0.5476190476190477,0.6715328467153285,0.8679245283018868
42,0.5706636970863954,0.47619047619047616,0.6451612903225806,1.0,0.5476190476190477,0.6715328467153285,0.8679245283018868
43,0.5851257536907197,0.42857142857142855,0.6,1.0,0.39285714285714285,0.5641025641025641,1.0
44,0.8307797620265285,0.38095238095238093,0.5517241379310345,1.0,0.32142857142857145,0.4864864864864865,1.0
45,0.8404044700403394,0.3333333333333333,0.5,1.0,0.25,0.4,1.0
46,0.8430920618487451,0.23809523809523808,0.3846153846153846,1.0,0.19047619047619047,0.32,1.0
47,0.8430920618487451,0.23809523809523808,0.3846153846153846,1.0,0.19047619047619047,0.32,1.0
48,0.8929897815778446,0.14285714285714285,0.25,1.0,0.13095238095238096,0.23157894736842108,1.0
49,0.8929897815778446,0.14285714285714285,0.25,1.0,0.13095238095238096,0.23157894736842108,1.0
50,0.9495447496372823,0.0,0.0,0.0,0.0,0.0,0.0
51,0.9495447496372823,0.0,0.0,0.0,0.0,0.0,0.0
52,0.9495447496372823,0.0,0.0,0.0,0.0,0.0,0.0
